city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
askiz,53.13,90.53,4.74,84,3.09,38,RU,1602857055
iqaluit,63.75,-68.51,1.0,100,2.1,90,CA,1602856802
khuzdar,27.74,66.64,22.5,17,2.89,0,PK,1602857055
port hedland,-20.32,118.57,26.0,57,5.7,0,AU,1602857439
barrow,71.29,-156.79,-8.0,72,7.7,20,US,1602857055
namatanai,-3.67,152.43,26.76,76,3.69,26,PG,1602857055
east london,-33.02,27.91,20.0,77,8.7,75,ZA,1602857056
iskateley,67.68,53.15,-0.89,94,1.99,100,RU,1602857056
airai,-8.93,125.41,16.36,93,0.4,90,TL,1602857056
ketchikan,55.34,-131.65,6.0,93,4.6,20,US,1602857056
faanui,-16.48,-151.75,25.75,80,3.7,30,PF,1602857056
kloulklubed,7.04,134.26,25.0,94,2.51,75,PW,1602857056
talnakh,69.49,88.4,-5.0,92,4.0,40,RU,1602857057
itarema,-2.92,-39.92,31.24,52,7.92,39,BR,1602857057
inhambane,-23.86,35.38,29.0,54,4.6,20,MZ,1602857057
kahului,20.89,-156.47,22.22,73,1.5,1,US,1602857057
bluff,-46.6,168.33,6.11,82,1.34,29,NZ,1602857057
provideniya,64.38,-173.3,4.06,94,7.52,100,RU,1602857057
praia da vitoria,38.73,-27.07,19.0,88,5.63,75,PT,1602857057
mount gambier,-37.83,140.77,13.0,100,0.5,90,AU,1602857036
kamenjane,41.94,20.93,16.0,93,1.5,90,MK,1602857058
puerto ayora,-0.74,-90.35,21.67,88,2.24,97,EC,1602857058
lukulu,-14.37,23.24,35.68,17,4.95,7,ZM,1602857058
tabory,58.52,64.55,10.44,72,5.39,92,RU,1602857058
kaeo,-35.1,173.78,10.0,91,1.34,91,NZ,1602857058
saint-georges,12.06,-61.75,31.0,70,8.7,40,GD,1602857058
nikolskoye,59.7,30.79,6.11,60,5.0,75,RU,1602857059
tautira,-17.73,-149.15,24.0,78,5.7,100,PF,1602857059
umm kaddadah,13.6,26.69,36.85,9,4.59,0,SD,1602857059
alofi,-19.06,-169.92,24.0,88,3.6,70,NU,1602856803
port hardy,50.7,-127.42,10.0,100,6.7,90,CA,1602856914
vanersborg,58.38,12.32,10.56,70,5.1,75,SE,1602857059
pringsewu,-5.36,104.97,24.58,91,3.09,100,ID,1602857059
cabo san lucas,22.89,-109.91,23.0,73,1.5,5,MX,1602857059
drovyanaya,51.58,113.03,5.0,52,5.0,75,RU,1602857060
nampula,-15.12,39.27,32.0,35,1.5,40,MZ,1602857060
broken hill,-31.95,141.43,20.0,60,6.2,72,AU,1602857060
yellowknife,62.46,-114.35,-4.44,85,6.2,75,CA,1602856901
salvacion,7.98,126.13,23.28,92,0.59,94,PH,1602857060
mayumba,-3.43,10.66,26.49,71,2.96,76,GA,1602857060
grindavik,63.84,-22.43,9.0,76,2.1,90,IS,1602857061
bonfim,3.08,-59.95,32.6,46,3.48,5,BR,1602857061
luanda,-8.84,13.23,27.0,78,5.1,75,AO,1602857061
auki,-8.77,160.7,25.23,83,1.73,6,SB,1602857061
toamasina,-18.17,49.38,27.0,74,2.6,20,MG,1602857061
danielskuil,-28.19,23.54,33.45,10,5.81,0,ZA,1602857061
dunedin,-45.87,170.5,6.67,82,0.45,71,NZ,1602857061
dajal,29.56,70.38,25.93,17,1.04,0,PK,1602857011
belaya gora,68.53,146.42,-4.31,98,7.17,100,RU,1602857063
gamba,-2.65,10.0,26.32,71,3.89,88,GA,1602857063
szob,47.82,18.87,10.0,87,2.41,100,HU,1602857063
port blair,11.67,92.75,27.28,81,4.05,17,IN,1602857063
aranos,-24.13,19.12,36.41,9,5.86,0,NA,1602857063
miranda,3.25,-76.23,24.0,78,2.1,75,CO,1602856958
ribeira grande,38.52,-28.7,23.0,69,6.2,20,PT,1602856901
vardo,70.37,31.11,0.0,77,5.1,40,NO,1602857064
anadyr,64.75,177.48,4.0,86,5.0,98,RU,1602856812
ilulissat,69.22,-51.1,7.0,52,7.2,75,GL,1602857064
monrovia,6.3,-10.8,28.7,70,3.78,28,LR,1602857028
namtsy,62.72,129.67,-7.0,92,2.0,75,RU,1602857064
ancud,-41.87,-73.82,16.11,81,2.1,74,CL,1602857065
chumikan,54.72,135.31,3.31,72,10.88,95,RU,1602857065
kushima,31.46,131.23,19.26,75,4.32,100,JP,1602857065
lingao,19.91,109.69,25.39,83,10.44,100,CN,1602856899
